Software Name,Aliases,Normalized Name
mitre_3PARA RAT,,3para rat
mitre_4H RAT,,4h rat
mitre_AADInternals,,aadinternals
mitre_ABK,,abk
mitre_ADVSTORESHELL,"AZZY, EVILTOSS, NETUI, Sedreco",advstoreshell
mitre_ANDROMEDA,,andromeda
mitre_ASPXSpy,ASPXTool,aspxspy
mitre_AcidRain,,acidrain
mitre_Action RAT,,action rat
mitre_AdFind,,adfind
mitre_Agent Tesla,,agent tesla
mitre_Agent.btz,,agent.btz
mitre_Akira,,akira
mitre_Amadey,,amadey
mitre_Anchor,Anchor_DNS,anchor
mitre_Apostle,,apostle
mitre_AppleJeus,,applejeus
mitre_AppleSeed,,appleseed
mitre_Aria-body,,aria-body
mitre_Arp,arp.exe,arp
mitre_Astaroth,Guildma,astaroth
mitre_AsyncRAT,,asyncrat
mitre_Attor,,attor
mitre_AuTo Stealer,,auto stealer
mitre_AuditCred,Roptimizer,auditcred
mitre_AutoIt backdoor,,autoit backdoor
mitre_Avaddon,,avaddon
mitre_Avenger,,avenger
mitre_AvosLocker,,avoslocker
mitre_Azorult,,azorult
mitre_BACKSPACE,Lecna,backspace
mitre_BADCALL,,badcall
mitre_BADFLICK,,badflick
mitre_BADHATCH,,badhatch
mitre_BADNEWS,,badnews
mitre_BBK,,bbk
mitre_BBSRAT,,bbsrat
mitre_BFG Agonizer,,bfg agonizer
mitre_BISCUIT,,biscuit
mitre_BITSAdmin,,bitsadmin
mitre_BLACKCOFFEE,,blackcoffee
mitre_BLINDINGCAN,,blindingcan
mitre_BLUELIGHT,,bluelight
mitre_BONDUPDATER,,bondupdater
mitre_BOOSTWRITE,,boostwrite
mitre_BOOTRASH,,bootrash
mitre_BPFDoor,"Backdoor.Linux.BPFDOOR, Backdoor.Solaris.BPFDOOR.ZAJE, JustForFun",bpfdoor
mitre_BS2005,,bs2005
mitre_BUBBLEWRAP,Backdoor.APT.FakeWinHTTPHelper,bubblewrap
mitre_BUSHWALK,,bushwalk
mitre_Babuk,"Babyk, Vasa Locker",babuk
mitre_BabyShark,LATEOP,babyshark
mitre_BackConfig,,backconfig
mitre_Backdoor.Oldrea,Havex,backdoor.oldrea
mitre_Bad Rabbit,Win32/Diskcoder.D,bad rabbit
mitre_BadPatch,,badpatch
mitre_Bandook,,bandook
mitre_Bankshot,Trojan Manuscript,bankshot
mitre_Bazar,"Bazaloader, KEGTAP, Team9",bazar
mitre_BendyBear,,bendybear
mitre_Bisonal,,bisonal
mitre_BitPaymer,"FriedEx, wp_encrypt",bitpaymer
mitre_Black Basta,,black basta
mitre_BlackCat,"ALPHV, Noberus",blackcat
mitre_BlackEnergy,Black Energy,blackenergy
mitre_BlackMould,,blackmould
mitre_BloodHound,,bloodhound
mitre_Bonadan,,bonadan
mitre_BoomBox,,boombox
mitre_BoxCaon,,boxcaon
mitre_Brave Prince,,brave prince
mitre_Briba,,briba
mitre_Brute Ratel C4,BRc4,brute ratel c4
mitre_Bumblebee,,bumblebee
mitre_Bundlore,OSX.Bundlore,bundlore
mitre_CALENDAR,,calendar
mitre_CARROTBALL,,carrotball
mitre_CARROTBAT,,carrotbat
mitre_CCBkdr,,ccbkdr
mitre_CHIMNEYSWEEP,,chimneysweep
