,mitre name,mitre alias,malpedia name,malpedia alias,attack techniques,technique name,attack software,malpedia techniques,malpedia software,normalized mitre software,normalized malpedia software,software union,software overlap,mitre software ids,software union canonical
G0044,winnti,['blackfly'],apt41,"['g0096', 'ta415', 'blackfly', 'grayfly', 'lead', 'barium', 'wicked spider', 'wicked panda', 'bronze atlas', 'bronze export', 'red kelpie', 'g0044', 'earth baku', 'amoeba', 'hoodoo', 'brass typhoon']","['T1553.002', 'T1583.001', 'T1083', 'T1105', 'T1057', 'T1014', 'T1116', 'T1027', 'T1055', 'T1063', 'T1088', 'T1013', 'T1502', 'T1043', 'T1032', 'T1095', 'T1008', 'T1113', 'T1112', 'T1134']","['Code Signing', 'Domains', 'File and Directory Discovery', 'Ingress Tool Transfer', 'Process Discovery', 'Rootkit']","['S0501', 'S0013', 'S0141']",[],[],"['pipemon', 'plugx', 'winnti for windows']",[],"['S0013', 'S0141', 'S0501']",[],"['S0013', 'S0141', 'S0501']","['pipemon', 'plugx', 'winnti for windows']"
G1012,curium,"['crimson sandstorm', 'ta456', 'tortoise shell']",tortoiseshell,"['imperial kitten', 'yellow liderc', 'imperial kitten', 'ta456', 'dustycave', 'crimson sandstorm']","['T1005', 'T1204.002', 'T1585.001', 'T1566.003']","['Data from Local System', 'Malicious File', 'Social Media Accounts', 'Spearphishing via Service']",[],"['T1005', 'T1037.005', 'T1041', 'T1055', 'T1059.003', 'T1059.005', 'T1059.006', 'T1071.003', 'T1095', 'T1140', 'T1189', 'T1518.001', 'T1584.006', 'T1590.005']","['win.imap_loader', 'win.liderc', 'win.syskit']",[],"['imap loader', 'liderc', 'syskit']","['imap loader', 'liderc', 'syskit']",[],[],"['imap loader', 'liderc', 'syskit']"
G0107,whitefly,[],whitefly,[],"['T1059', 'T1574.001', 'T1027.013', 'T1068', 'T1105', 'T1003.001', 'T1204.002', 'T1036.005', 'T1588.002']","['Command and Scripting Interpreter', 'DLL Search Order Hijacking', 'Encrypted/Encoded File', 'Exploitation for Privilege Escalation', 'Ingress Tool Transfer', 'LSASS Memory', 'Malicious File', 'Match Legitimate Name or Location', 'Tool']",['S0002'],[],[],['mimikatz'],[],['S0002'],[],['S0002'],['mimikatz']
G0056,promethium,['strongpity'],promethium,"['strongpity', 'g0056']","['T1553.002', 'T1587.002', 'T1587.003', 'T1189', 'T1078.003', 'T1204.002', 'T1036.004', 'T1036.005', 'T1205.001', 'T1547.001', 'T1543.003']","['Code Signing', 'Code Signing Certificates', 'Digital Certificates', 'Drive-by Compromise', 'Local Accounts', 'Malicious File', 'Masquerade Task or Service', 'Match Legitimate Name or Location', 'Port Knocking', 'Registry Run Keys / Startup Folder', 'Windows Service']","['S0491', 'S0178']","['T1036', 'T1078', 'T1189', 'T1204', 'T1205', 'T1543', 'T1547', 'T1553', 'T1587']",['win.strongpity'],"['strongpity', 'truvasys']",['S0491'],"['S0178', 'S0491']",['S0491'],"['S0178', 'S0491']","['strongpity', 'truvasys']"
G0018,admin@338,[],temper panda,"['admin338', 'team338', 'magnesium', 'admin@338', 'g0018']","['T1203', 'T1083', 'T1087.001', 'T1069.001', 'T1204.002', 'T1036.005', 'T1566.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1059.003']","['Exploitation for Client Execution', 'File and Directory Discovery', 'Local Account', 'Local Groups', 'Malicious File', 'Match Legitimate Name or Location', 'Spearphishing Attachment', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Service Discovery', 'Windows Command Shell']","['S0043', 'S0042', 'S0039', 'S0012', 'S0096', 'S0100', 'S0104']","['T1007', 'T1016', 'T1036', 'T1049', 'T1059', 'T1069', 'T1071', 'T1082', 'T1083', 'T1087', 'T1095', 'T1203', 'T1204', 'T1566', 'T9000']","['win.bozok', 'win.bubblewrap', 'win.lowball', 'win.poison_ivy']","['bubblewrap', 'ipconfig', 'lowball', 'net', 'netstat', 'poisonivy', 'systeminfo']","['S0012', 'S0042', 'S0043', 'bozok']","['S0012', 'S0039', 'S0042', 'S0043', 'S0096', 'S0100', 'S0104', 'bozok']","['S0012', 'S0042', 'S0043']","['S0012', 'S0039', 'S0042', 'S0043', 'S0096', 'S0100', 'S0104']","['bozok', 'bubblewrap', 'ipconfig', 'lowball', 'net', 'netstat', 'poisonivy', 'systeminfo']"
G0019,naikon,[],naikon,"['pla unit 78020', 'override panda', 'camerashy', 'bronze geneva', 'g0019', 'naikon', 'bronze sterling', 'g0013']","['T1137.006', 'T1574.002', 'T1078.002', 'T1204.002', 'T1036.004', 'T1036.005', 'T1046', 'T1547.001', 'T1018', 'T1053.005', 'T1518.001', 'T1566.001', 'T1016', 'T1047', 'T1003.005', 'T1570', 'T1001', 'T1005', 'T1041', 'T1053', 'T1078', 'T1025', 'T1082', 'T1059', 'T1113', 'T1074', 'T1543.003', 'T1083', 'T1003', 'T1569.002', 'T1057', 'T1222', 'T1036', 'T1055', 'T1033', 'T1020', 'T1003.002', 'T1007', 'T1074.001', 'T1112', 'T1027', 'T1070.004', 'T1049', 'T1021.002', 'T1095', 'T1564.001', 'T1567', 'T1071.001', 'T1572']","['Add-ins', 'DLL Side-Loading', 'Domain Accounts', 'Malicious File', 'Masquerade Task or Service', 'Match Legitimate Name or Location', 'Network Service Discovery', 'Registry Run Keys / Startup Folder', 'Remote System Discovery', 'Scheduled Task', 'Security Software Discovery', 'Spearphishing Attachment', 'System Network Configuration Discovery', 'Windows Management Instrumentation']","['S0456', 'S0061', 'S0630', 'S0039', 'S0097', 'S0029', 'S0055', 'S0629', 'S0058', 'S0060', 'S0096', 'S0057', 'S0059', 'S0095', 'S0108']","['T1001', 'T1003', 'T1003.002', 'T1003.005', 'T1005', 'T1007', 'T1016', 'T1018', 'T1020', 'T1021.002', 'T1025', 'T1027', 'T1033', 'T1036', 'T1036.004', 'T1036.005', 'T1041', 'T1046', 'T1047', 'T1049', 'T1053', 'T1055', 'T1057', 'T1059', 'T1070.004', 'T1071', 'T1071.001', 'T1074', 'T1074.001', 'T1078', 'T1078.002', 'T1082', 'T1083', 'T1095', 'T1105', 'T1112', 'T1113', 'T1137', 'T1204', 'T1222', 'T1406', 'T1518', 'T1543.003', 'T1547', 'T1547.001', 'T1564.001', 'T1566', 'T1566.001', 'T1567', 'T1569.002', 'T1570', 'T1571', 'T1572', 'T1573', 'T1574', 'T1574.002']","['win.ariabody', 'win.naikon', 'win.nebulae', 'win.sslmm', 'win.sys10', 'win.winmm', 'win.xsplus']","['aria body', 'ftp', 'hdoor', 'nebulae', 'net', 'netsh', 'ping', 'psexec', 'rainyday', 'rarstone', 'sslmm', 'sys10', 'systeminfo', 'tasklist', 'winmm']","['S0058', 'S0059', 'S0060', 'S0630', 'ariabody', 'naikon', 'xsplus']","['S0029', 'S0039', 'S0055', 'S0057', 'S0058', 'S0059', 'S0060', 'S0061', 'S0095', 'S0096', 'S0097', 'S0108', 'S0456', 'S0629', 'S0630', 'ariabody', 'naikon', 'xsplus']","['S0058', 'S0059', 'S0060', 'S0630']","['S0029', 'S0039', 'S0055', 'S0057', 'S0058', 'S0059', 'S0060', 'S0061', 'S0095', 'S0096', 'S0097', 'S0108', 'S0456', 'S0629', 'S0630']","['aria body', 'ariabody', 'ftp', 'hdoor', 'naikon', 'nebulae', 'net', 'netsh', 'ping', 'psexec', 'rainyday', 'rarstone', 'sslmm', 'sys10', 'systeminfo', 'tasklist', 'winmm', 'xsplus']"
G0088,veles,['xenotime'],veles,"['xenotime', 'g0088', 'atk91']","['T0817', 'T0862', 'T1076', 'T1053', 'T1043', 'T1065', 'T1078', 'T1183', 'T1099', 'T1329', 'T1311']","['Drive-by Compromise', 'Supply Chain Compromise']","['S0002', 'S0029', 'S1009']","['T0817', 'T0859', 'T0862', 'T0886', 'T1003', 'T1021', 'T1027', 'T1036', 'T1053', 'T1059', 'T1070', 'T1074', 'T1078', 'T1133', 'T1505', 'T1546', 'T1571', 'T1583', 'T1588']",['win.triton'],"['mimikatz', 'psexec', 'triton']",['S1009'],"['S0002', 'S0029', 'S1009']",['S1009'],"['S0002', 'S0029', 'S1009']","['mimikatz', 'psexec', 'triton']"
G0140,,[],,[],"['T1027.010', 'T1071.004', 'T1583.001', 'T1105', 'T1059.007', 'T1204.002', 'T1204.001', 'T1588.001', 'T1036', 'T1218.005', 'T1059.001', 'T1547.001', 'T1218.011', 'T1566.001', 'T1566.002', 'T1608.001', 'T1059.005', 'T1102', 'T1583.006', 'T1059.003']","['Command Obfuscation', 'DNS', 'Domains', 'Ingress Tool Transfer', 'JavaScript', 'Malicious File', 'Malicious Link', 'Malware', 'Masquerading', 'Mshta', 'PowerShell', 'Registry Run Keys / Startup Folder', 'Rundll32', 'Spearphishing Attachment', 'Spearphishing Link', 'Upload Malware', 'Visual Basic', 'Web Service', 'Web Services', 'Windows Command Shell']","['S0363', 'S0669', 'S0250', 'S0262', 'S0332', 'S0508', 'S0385']",[],[],"['empire', 'koadic', 'koctopus', 'ngrok', 'nj rat', 'quasar rat', 'remcos']",[],"['S0250', 'S0262', 'S0332', 'S0363', 'S0385', 'S0508', 'S0669']",[],"['S0250', 'S0262', 'S0332', 'S0363', 'S0385', 'S0508', 'S0669']","['empire', 'koadic', 'koctopus', 'ngrok', 'nj rat', 'quasar rat', 'remcos']"
G0067,apt37,"['group123', 'inkysquid', 'reaper', 'ricochet chollima', 'scarcruft', 'reaper']",apt37,"['apt 37', 'group 123', 'group123', 'inkysquid', 'operation daybreak', 'operation erebus', 'reaper', 'reaper', 'red eyes', 'ricochet chollima', 'scarcruft', 'venus 121', 'atk4', 'g0067', 'moldy pisces', 'ta-redant']","['T1123', 'T1102.002', 'T1548.002', 'T1059', 'T1555.003', 'T1005', 'T1561.002', 'T1189', 'T1559.002', 'T1203', 'T1105', 'T1036.001', 'T1204.002', 'T1106', 'T1027', 'T1120', 'T1057', 'T1055', 'T1059.006', 'T1547.001', 'T1053.005', 'T1566.001', 'T1027.003', 'T1082', 'T1033', 'T1529', 'T1059.005', 'T1071.001', 'T1059.003']","['Audio Capture', 'Bidirectional Communication', 'Bypass User Account Control', 'Command and Scripting Interpreter', 'Credentials from Web Browsers', 'Data from Local System', 'Disk Structure Wipe', 'Drive-by Compromise', 'Dynamic Data Exchange', 'Exploitation for Client Execution', 'Ingress Tool Transfer', 'Invalid Code Signature', 'Malicious File', 'Native API', 'Obfuscated Files or Information', 'Peripheral Device Discovery', 'Process Discovery', 'Process Injection', 'Python', 'Registry Run Keys / Startup Folder', 'Scheduled Task', 'Spearphishing Attachment', 'Steganography', 'System Information Discovery', 'System Owner/User Discovery', 'System Shutdown/Reboot', 'Visual Basic', 'Web Protocols', 'Windows Command Shell']","['S0657', 'S0212', 'S0154', 'S0213', 'S0355', 'S0214', 'S0215', 'S0247', 'S0216', 'S0240', 'S0217', 'S0218', 'S0219']","['T1005', 'T1016', 'T1027', 'T1031', 'T1033', 'T1036', 'T1036.005', 'T1041', 'T1048', 'T1048.003', 'T1050', 'T1053', 'T1055', 'T1056.001', 'T1057', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1070.004', 'T1071', 'T1071.001', 'T1082', 'T1083', 'T1085', 'T1088', 'T1102', 'T1105', 'T1106', 'T1112', 'T1113', 'T1115', 'T1120', 'T1123', 'T1129', 'T1132', 'T1132.001', 'T1134', 'T1134.002', 'T1140', 'T1189', 'T1203', 'T1204', 'T1218.011', 'T1402', 'T1412', 'T1432', 'T1433', 'T1476', 'T1529', 'T1533', 'T1546.015', 'T1547', 'T1547.001', 'T1547.009', 'T1548', 'T1548.002', 'T1555', 'T1555.003', 'T1559', 'T1560.002', 'T1561', 'T1566', 'T1566.001', 'T1573.001', 'T1575', 'T1584.006']","['apk.chinotto', 'apk.kevdroid', 'win.bluelight', 'win.chinotto', 'win.final1stspy', 'win.freenki', 'win.goldbackdoor', 'win.konni', 'win.nokki', 'win.open_carrot', 'win.poohmilk', 'win.poorweb', 'win.rokrat', 'win.starcruft', 'win.unidentified_067']","['bluelight', 'cobalt strike', 'coraldeck', 'dogcall', 'final1stspy', 'happywork', 'karae', 'nav rat', 'pooraim', 'rok rat', 'shutterspeed', 'slowdrift', 'winerack']","['S0240', 'S0355', 'S0657', 'chinotto', 'freenki', 'goldbackdoor', 'kevdroid', 'konni', 'nokki', 'open carrot', 'poohmilk', 'poorweb', 'starcruft', 'unidentified']","['S0154', 'S0212', 'S0213', 'S0214', 'S0215', 'S0216', 'S0217', 'S0218', 'S0219', 'S0240', 'S0247', 'S0355', 'S0657', 'chinotto', 'freenki', 'goldbackdoor', 'kevdroid', 'konni', 'nokki', 'open carrot', 'poohmilk', 'poorweb', 'starcruft', 'unidentified']","['S0240', 'S0355', 'S0657']","['S0154', 'S0212', 'S0213', 'S0214', 'S0215', 'S0216', 'S0217', 'S0218', 'S0219', 'S0240', 'S0247', 'S0355', 'S0657']","['bluelight', 'chinotto', 'cobalt strike', 'coraldeck', 'dogcall', 'final1stspy', 'freenki', 'goldbackdoor', 'happywork', 'karae', 'kevdroid', 'konni', 'nav rat', 'nokki', 'open carrot', 'poohmilk', 'pooraim', 'poorweb', 'rok rat', 'shutterspeed', 'slowdrift', 'starcruft', 'unidentified', 'winerack']"
G1024,akira,"['gold sahara', 'punk spider']",storm-1567,"['akira', 'punk spider', 'gold sahara']","['T1531', 'T1560.001', 'T1486', 'T1482', 'T1567.002', 'T1133', 'T1657', 'T1219', 'T1018', 'T1213.002', 'T1078']","['Account Access Removal', 'Archive via Utility', 'Data Encrypted for Impact', 'Domain Trust Discovery', 'Exfiltration to Cloud Storage', 'External Remote Services', 'Financial Theft', 'Remote Access Software', 'Remote System Discovery', 'Sharepoint', 'Valid Accounts']","['S0552', 'S1129', 'S0349', 'S0002', 'S0029', 'S1040']","['T1003.001', 'T1021.001', 'T1048', 'T1059.001', 'T1106', 'T1190', 'T1486', 'T1490', 'T1566', 'T1584']",[],"['adfind', 'akira', 'lazagne', 'mimikatz', 'psexec', 'rclone']",[],"['S0002', 'S0029', 'S0349', 'S0552', 'S1040', 'S1129']",[],"['S0002', 'S0029', 'S0349', 'S0552', 'S1040', 'S1129']","['adfind', 'akira', 'lazagne', 'mimikatz', 'psexec', 'rclone']"
