Parent Technique,Total Count,Sub-techniques
T1059,224,"T1059.001 (PowerShell): 69;
T1059.003 (Windows Command Shell): 60;
T1059.005 (Visual Basic): 42;
T1059.007 (JavaScript): 19;
T1059 (Command and Scripting Interpreter): 14;
T1059.006 (Python): 14;
T1059.004 (Unix Shell): 3;
T1059.009 (Cloud API): 2;
T1059.010 (AutoHotKey & AutoIT): 1"
T1027,128,"T1027.013 (Encrypted/Encoded File): 34;
T1027.010 (Command Obfuscation): 25;
T1027.002 (Software Packing): 20;
T1027 (Obfuscated Files or Information): 17;
T1027.001 (Binary Padding): 11;
T1027.003 (Steganography): 8;
T1027.005 (Indicator Removal from Tools): 6;
T1027.004 (Compile After Delivery): 3;
T1027.011 (Fileless Storage): 2;
T1027.007 (Dynamic API Resolution): 1;
T1027.006 (HTML Smuggling): 1"
T1566,126,"T1566.001 (Spearphishing Attachment): 72;
T1566.002 (Spearphishing Link): 41;
T1566.003 (Spearphishing via Service): 11;
T1566 (Phishing): 2"
T1204,121,"T1204.002 (Malicious File): 79;
T1204.001 (Malicious Link): 39;
T1204 (User Execution): 2;
T1204.003 (Malicious Image): 1"
T1036,96,"T1036.005 (Match Legitimate Name or Location): 50;
T1036.004 (Masquerade Task or Service): 18;
T1036 (Masquerading): 15;
T1036.002 (Right-to-Left Override): 5;
T1036.003 (Rename System Utilities): 4;
T1036.001 (Invalid Code Signature): 2;
T1036.008 (Masquerade File Type): 1;
T1036.007 (Double File Extension): 1"
T1588,89,"T1588.002 (Tool): 66;
T1588.001 (Malware): 12;
T1588.003 (Code Signing Certificates): 5;
T1588.004 (Digital Certificates): 4;
T1588.005 (Exploits): 1;
T1588.006 (Vulnerabilities): 1"
T1003,84,"T1003.001 (LSASS Memory): 34;
T1003.003 (NTDS): 16;
T1003.002 (Security Account Manager): 10;
T1003.004 (LSA Secrets): 9;
T1003 (OS Credential Dumping): 9;
T1003.005 (Cached Domain Credentials): 4;
T1003.006 (DCSync): 2"
T1105,76,T1105 (Ingress Tool Transfer): 76
T1021,71,"T1021.001 (Remote Desktop Protocol): 26;
T1021.002 (SMB/Windows Admin Shares): 21;
T1021.004 (SSH): 13;
T1021.005 (VNC): 4;
T1021.006 (Windows Remote Management): 4;
T1021.007 (Cloud Services): 2;
T1021 (Remote Services): 1"
T1071,69,"T1071.001 (Web Protocols): 47;
T1071.004 (DNS): 10;
T1071.003 (Mail Protocols): 5;
T1071.002 (File Transfer Protocols): 4;
T1071 (Application Layer Protocol): 3"
